1;Terminátor;terminator1984;Terminátor je dnes již považován za naprostou legendu sci-fi žánru. Vypráví příběh o zabijáckém stroji podobném člověku, který je vyslán z roku 2029 do Los Angeles roku 1984. Jeho úkolem je zabít Sarah Connorovou dřív, než přivede na svět syna, který se má později stát vůdcem lidí ve válce proti strojům. Avšak lidé žijící v budoucnosti do současnosti také vyslali svého muže, který se bude snažit Sarah zachránit.;107;1984;USA;https://image.pmgstatic.com/cache/resized/w140/files/images/film/posters/164/654/164654904_3bbdaf.jpg;
2;Terminátor 2: Den zúčtování;terminator2;V budoucnosti probíhá válka lidí se stroji, které převzaly vládu nad světem. Jedinou nadějí pro lidstvo je charismatický vůdce Hnutí odporu John Connor. Protože se ho stroje obávají, vysílají do minulosti nový prototyp kyborga, který ho má zničit jako malého chlapce. Vzápětí za ním Hnutí odporu vyšle starý model terminátora, přeprogramovaného tak, aby mladého Johna chránil.;137;1991;USA;https://image.pmgstatic.com/cache/resized/w140/files/images/film/posters/162/030/162030421_a857c2.jpg;
